,date,time,team_1,team_2,score_1,score_2
0,"Sat, August 3, 2024Today",12:30 PM,Team Vitality,Trace Esports,1,2
1,"Sat, August 3, 2024Today",10:00 AM,LEVIATÁN,Talon Esports,2,0
2,"Fri, August 2, 2024Yesterday",1:00 PM,FNATIC,Bilibili Gaming,2,0
3,"Fri, August 2, 2024Yesterday",10:00 AM,DRX,KRÜ Esports,2,1
4,"Thu, August 1, 2024",12:25 PM,FunPlus Phoenix,Team Heretics,1,2
5,"Thu, August 1, 2024",10:00 AM,Gen.G,Sentinels,2,0
6,"Thu, August 1, 2024",12:00 AM,K7 Esports,Bon Bon Bum Contra GC,0,2
7,"Wed, July 31, 2024",10:00 PM,M80,TSM,2,0
8,"Wed, July 31, 2024",9:00 PM,University War GC,Zen eSports GC,2,0
9,"Wed, July 31, 2024",7:30 PM,VCL REJECTS 2.0,ESC Gaming,2,0
10,"Wed, July 31, 2024",5:30 PM,NEANLATIYONBOLM,Fenerbahçe Esports,2,3
11,"Wed, July 31, 2024",5:00 PM,Incognito,ESC Gaming,0,2
12,"Wed, July 31, 2024",4:00 PM,KPI Gaming,CGN Esports,0,3
13,"Wed, July 31, 2024",9:00 AM,NAOS,ZOL Esports,3,2
14,"Wed, July 31, 2024",3:20 AM,KS Hunters,Akave Esports GC,0,2
15,"Tue, July 30, 2024",11:50 PM,TBS GC,Team Leveling,1,2
16,"Tue, July 30, 2024",10:00 PM,Moist x Shopify,TSM,1,2
17,"Tue, July 30, 2024",10:00 PM,LOUD GC,revoada,2,0
18,"Tue, July 30, 2024",8:15 PM,Galakticos,CGN Esports,1,2
19,"Tue, July 30, 2024",8:00 PM,VCL REJECTS 2.0,genziary,0,2
20,"Tue, July 30, 2024",6:10 PM,NEANLATIYONBOLM,Digital Athletics,1,2
21,"Tue, July 30, 2024",6:00 PM,ESC Gaming,genziary,0,2
22,"Tue, July 30, 2024",5:00 PM,KPI Gaming,VALIANT,2,1
23,"Tue, July 30, 2024",4:30 PM,Mamacita,Fenerbahçe Esports,0,2
24,"Tue, July 30, 2024",3:00 PM,Incognito,VCL REJECTS 2.0,1,2
25,"Tue, July 30, 2024",3:00 AM,MYVRA,FUSION X,1,2
26,"Tue, July 30, 2024",1:30 AM,MIBR GC,LOUD GC,2,0
27,"Tue, July 30, 2024",12:40 AM,Oxygen Esports,TSM,0,2
28,"Mon, July 29, 2024",10:00 PM,Moist x Shopify,M80,0,2
29,"Mon, July 29, 2024",10:00 PM,Team Liquid Brazil,TBS GC,2,1
30,"Mon, July 29, 2024",9:00 PM,SweetNsour,NOVO Esports,1,2
31,"Mon, July 29, 2024",6:00 PM,VALIANT,NOVO Esports,2,1
32,"Mon, July 29, 2024",3:00 PM,SweetNsour,VALIANT,0,2
33,"Sun, July 28, 2024",11:00 PM,All Knights,E-Xolos LAZER,3,2
34,"Sun, July 28, 2024",10:30 PM,SweetNsour,KPI Gaming,0,2
